transaction_id,branch_id,transaction_date,customer_id,product_id,quantity,unit_price,discount,revenue
TXN0000001,BR005,2026-04-05,CUST00221,PROD0462,3,1156.23,66.76,3401.93
TXN0000002,BR006,2026-07-19,CUST00028,PROD0149,1,1361.24,1.11,1360.13
TXN0000003,BR002,2026-01-06,CUST01358,PROD0337,15,61.66,14.0,910.9
TXN0000004,BR010,2026-05-21,CUST00009,PROD0246,2,462.93,35.61,890.25
TXN0000005,BR003,2026-01-22,CUST02674,PROD0219,10,703.55,27.31,7008.19
TXN0000006,BR002,2026-07-31,CUST01010,PROD0416,7,91.66,15.5,626.12
TXN0000007,BR008,2026-03-30,CUST00679,PROD0209,12,535.53,30.91,6395.45
TXN0000008,BR006,2026-07-23,CUST02057,PROD0186,11,464.08,37.17,5067.71
TXN0000009,BR009,2026-02-26,CUST02477,PROD0432,3,423.71,39.56,1231.57
TXN0000010,BR010,2026-08-14,CUST02492,PROD0186,12,829.04,43.61,9904.87
TXN0000011,BR006,2026-02-09,CUST00036,PROD0238,11,213.4,11.43,2335.97
TXN0000012,BR005,2026-07-27,CUST02342,PROD0298,14,630.52,12.23,8815.05
TXN0000013,BR007,2026-01-14,CUST02324,PROD0137,10,679.76,92.04,6705.56
TXN0000014,BR006,2026-06-30,CUST01783,PROD0221,1,78.33,19.58,58.75
TXN0000015,BR004,2026-08-19,CUST02092,PROD0250,4,314.72,84.33,1174.55
TXN0000016,BR009,2026-07-27,CUST01165,PROD0382,13,818.21,58.33,10578.4
TXN0000017,BR002,2026-06-10,CUST02836,PROD0086,9,465.53,58.01,4131.76
TXN0000018,BR008,2026-07-11,CUST02792,PROD0197,11,641.32,89.53,6964.99
TXN0000019,BR002,2026-06-10,CUST02596,PROD0171,1,1423.02,34.18,1388.84
TXN0000020,BR008,2026-07-05,CUST01345,PROD0191,5,857.35,58.81,4227.94
TXN0000021,BR005,2026-03-27,CUST00577,PROD0433,14,621.43,12.19,8687.83
