product_id,product_name,category
PROD0001,Product 1,Office
PROD0002,Product 2,Sports
PROD0003,Product 3,Automotive
PROD0004,Product 4,Beauty
PROD0005,Product 5,Home
PROD0006,Product 6,Sports
PROD0007,Product 7,Automotive
PROD0008,Product 8,Grocery
PROD0009,Product 9,Home
PROD0010,Product 10,Grocery
PROD0011,Product 11,Beauty
PROD0012,Product 12,Home
PROD0013,Product 13,Home
PROD0014,Product 14,Electronics
PROD0015,Product 15,Automotive
PROD0016,Product 16,Apparel
PROD0017,Product 17,Beauty
PROD0018,Product 18,Beauty
PROD0019,Product 19,Office
PROD0020,Product 20,Apparel
PROD0021,Product 21,Office
PROD0022,Product 22,Office
PROD0023,Product 23,Grocery
PROD0024,Product 24,Apparel
PROD0025,Product 25,Home
PROD0026,Product 26,Beauty
PROD0027,Product 27,Grocery
PROD0028,Product 28,Office
PROD0029,Product 29,Beauty
PROD0030,Product 30,Sports
PROD0031,Product 31,Grocery
PROD0032,Product 32,Grocery
PROD0033,Product 33,Apparel
PROD0034,Product 34,Home
PROD0035,Product 35,Home
PROD0036,Product 36,Office
PROD0037,Product 37,Electronics
PROD0038,Product 38,Apparel
PROD0039,Product 39,Sports
PROD0040,Product 40,Sports
PROD0041,Product 41,Grocery
PROD0042,Product 42,Home
PROD0043,Product 43,Sports
PROD0044,Product 44,Automotive
PROD0045,Product 45,Office
PROD0046,Product 46,Apparel
PROD0047,Product 47,Sports
PROD0048,Product 48,Grocery
PROD0049,Product 49,Apparel
PROD0050,Product 50,Home
PROD0051,Product 51,Home
PROD0052,Product 52,Sports
PROD0053,Product 53,Office
PROD0054,Product 54,Electronics
PROD0055,Product 55,Office
PROD0056,Product 56,Automotive
PROD0057,Product 57,Apparel
PROD0058,Product 58,Office
PROD0059,Product 59,Beauty
PROD0060,Product 60,Sports
PROD0061,Product 61,Automotive
PROD0062,Product 62,Apparel
PROD0063,Product 63,Home
PROD0064,Product 64,Grocery
PROD0065,Product 65,Beauty
PROD0066,Product 66,Automotive
PROD0067,Product 67,Grocery
PROD0068,Product 68,Sports
PROD0069,Product 69,Grocery
PROD0070,Product 70,Grocery
PROD0071,Product 71,Electronics
PROD0072,Product 72,Grocery
PROD0073,Product 73,Sports
PROD0074,Product 74,Sports
PROD0075,Product 75,Apparel
PROD0076,Product 76,Apparel
PROD0077,Product 77,Grocery
PROD0078,Product 78,Automotive
PROD0079,Product 79,Automotive
PROD0080,Product 80,Sports
PROD0081,Product 81,Home
PROD0082,Product 82,Sports
PROD0083,Product 83,Office
PROD0084,Product 84,Beauty
PROD0085,Product 85,Sports
PROD0086,Product 86,Apparel
PROD0087,Product 87,Electronics
PROD0088,Product 88,Office
PROD0089,Product 89,Electronics
PROD0090,Product 90,Sports
PROD0091,Product 91,Grocery
PROD0092,Product 92,Grocery
PROD0093,Product 93,Office
PROD0094,Product 94,Electronics
PROD0095,Product 95,Grocery
PROD0096,Product 96,Apparel
PROD0097,Product 97,Home
PROD0098,Product 98,Automotive
PROD0099,Product 99,Apparel
PROD0100,Product 100,Electronics
PROD0101,Product 101,Office
PROD0102,Product 102,Office
PROD0103,Product 103,Apparel
PROD0104,Product 104,Office
PROD0105,Product 105,Office
PROD0106,Product 106,Beauty
PROD0107,Product 107,Grocery
PROD0108,Product 108,Electronics
PROD0109,Product 109,Sports
